# Residuals   
# Time        	Ux            	Uy            	p             
0             	N/A	N/A
0.01          	0.000000e+00	1.000000e+00	1.000000e+00
0.0103704     	1.815792e-02	4.965657e-01	2.186935e-01
0.0107716     	1.399257e-01	9.200920e-01	2.119778e-02
0.0112111     	1.138507e-01	9.126171e-01	1.303222e-02
0.0116993     	2.294196e-01	8.856583e-01	8.044838e-03
0.0122181     	2.340639e-01	8.343410e-01	1.328684e-02
0.012774      	1.622242e-01	7.481264e-01	3.288500e-02
0.0133298     	9.376991e-02	5.397126e-01	8.531285e-02
0.0138429     	3.313827e-02	7.919177e-02	3.383966e-01
0.014356      	6.727190e-02	4.586640e-01	7.261506e-02
0.0148691     	1.384150e-01	5.756704e-01	4.484870e-02
0.0154392     	2.074776e-01	6.329818e-01	3.536739e-02
0.0160093     	1.804057e-01	6.101940e-01	3.950495e-02
0.0165794     	1.250530e-01	5.483495e-01	5.442416e-02
0.0171495     	6.721226e-02	4.439261e-01	7.474407e-02
0.0177196     	6.819201e-02	2.873596e-01	1.064016e-01
0.0182897     	1.026442e-01	8.415671e-02	2.495465e-01
0.0188598     	1.086233e-01	1.196192e-01	1.420673e-01
0.0194299     	8.836609e-02	2.277060e-01	8.595515e-02
0.02          	5.801786e-02	2.702486e-01	6.638877e-02
0.0205882     	3.703863e-02	2.796793e-01	5.967812e-02
0.0211765     	3.299842e-02	2.538510e-01	6.036566e-02
0.0217647     	3.567006e-02	2.094488e-01	6.397719e-02
0.0223529     	3.272372e-02	1.545104e-01	7.025505e-02
0.0229412     	2.656841e-02	9.780710e-02	9.140166e-02
0.0235294     	1.774256e-02	4.549566e-02	1.479123e-01
0.0241176     	1.046033e-02	2.125855e-02	1.892203e-01
0.0247059     	1.271366e-02	3.552276e-02	1.079302e-01
0.0252941     	1.290408e-02	4.910099e-02	8.157469e-02
0.0258824     	1.112685e-02	5.574124e-02	7.501606e-02
0.0264706     	8.856494e-03	5.524692e-02	7.047482e-02
0.0270588     	7.746052e-03	4.981214e-02	6.727302e-02
0.0276471     	7.743145e-03	4.141458e-02	6.697244e-02
0.0282353     	7.211231e-03	3.162248e-02	7.147322e-02
0.0288235     	6.086474e-03	2.172136e-02	7.900283e-02
0.0294118     	4.467904e-03	1.277935e-02	8.716634e-02
0.03          	3.036689e-03	8.304694e-03	8.736428e-02
0.0305882     	3.812744e-03	9.904081e-03	6.620570e-02
0.0311765     	4.039085e-03	1.107269e-02	6.027275e-02
0.0317647     	3.948497e-03	1.190179e-02	5.790768e-02
0.0323529     	3.745350e-03	1.204100e-02	5.583414e-02
0.0329412     	3.515805e-03	1.129540e-02	5.296924e-02
0.0335294     	3.279956e-03	9.916422e-03	5.043008e-02
0.0341176     	3.011550e-03	8.226902e-03	4.843404e-02
