# Residuals   
# Time        	Ux            	Uy            	p             
10            	N/A	N/A
10.0004       	2.012444e-03	1.568393e-03	2.744831e-02
10.0007       	2.012711e-03	1.568433e-03	2.716550e-02
10.0011       	2.012997e-03	1.568474e-03	2.760857e-02
10.0015       	2.013396e-03	1.568588e-03	2.760815e-02
10.0019       	2.013685e-03	1.568677e-03	2.769794e-02
10.0022       	2.006360e-03	1.562824e-03	2.806841e-02
10.0026       	2.006724e-03	1.562895e-03	2.813677e-02
10.003        	2.007091e-03	1.562990e-03	2.791578e-02
10.0034       	2.007348e-03	1.563040e-03	2.810291e-02
10.0037       	2.007584e-03	1.563049e-03	2.769666e-02
10.0041       	2.000141e-03	1.557058e-03	2.754967e-02
10.0045       	2.000396e-03	1.557025e-03	2.748110e-02
10.0048       	2.000627e-03	1.557103e-03	2.776059e-02
10.0052       	2.000841e-03	1.557200e-03	2.743033e-02
10.0056       	2.001061e-03	1.557220e-03	2.755900e-02
10.0059       	2.001278e-03	1.557177e-03	2.750437e-02
10.0063       	2.001555e-03	1.557136e-03	2.755856e-02
10.0067       	2.001868e-03	1.557094e-03	2.764514e-02
10.0071       	2.002142e-03	1.557071e-03	2.767922e-02
10.0074       	2.002466e-03	1.557088e-03	2.774993e-02
10.0078       	2.002809e-03	1.557101e-03	2.823287e-02
10.0082       	2.003246e-03	1.557193e-03	2.826129e-02
10.0085       	2.003575e-03	1.557285e-03	2.807871e-02
10.0089       	2.003908e-03	1.557332e-03	2.837447e-02
10.0093       	2.004227e-03	1.557452e-03	2.879875e-02
10.0097       	2.012683e-03	1.563904e-03	2.900260e-02
10.01         	2.012903e-03	1.563882e-03	2.894510e-02
10.0104       	2.013126e-03	1.563857e-03	2.864678e-02
10.0108       	2.013329e-03	1.563784e-03	2.838411e-02
10.0111       	2.013552e-03	1.563749e-03	2.837067e-02
10.0115       	2.013766e-03	1.563775e-03	2.864119e-02
10.0119       	2.014000e-03	1.563822e-03	2.811859e-02
10.0123       	2.014248e-03	1.563907e-03	2.765826e-02
10.0126       	2.023018e-03	1.570598e-03	2.758672e-02
10.013        	2.023265e-03	1.570625e-03	2.756525e-02
10.0134       	2.023544e-03	1.570666e-03	2.764811e-02
10.0137       	2.023816e-03	1.570665e-03	2.766437e-02
10.0141       	2.024132e-03	1.570673e-03	2.753522e-02
10.0145       	2.033266e-03	1.577428e-03	2.796494e-02
10.0149       	2.033619e-03	1.577352e-03	2.777836e-02
10.0152       	2.033881e-03	1.577259e-03	2.799322e-02
10.0156       	2.034166e-03	1.577203e-03	2.849784e-02
10.016        	2.034496e-03	1.577275e-03	2.873888e-02
10.0164       	2.034764e-03	1.577272e-03	2.884769e-02
10.0167       	2.035056e-03	1.577309e-03	2.852047e-02
10.0171       	2.044473e-03	1.584440e-03	2.857446e-02
10.0175       	2.044737e-03	1.584399e-03	2.849724e-02
10.0179       	2.044994e-03	1.584303e-03	2.864392e-02
10.0183       	2.045288e-03	1.584204e-03	2.871244e-02
10.0186       	2.045605e-03	1.584153e-03	2.865154e-02
10.019        	2.045932e-03	1.584115e-03	2.856887e-02
10.0194       	2.046300e-03	1.584225e-03	2.828236e-02
10.0198       	2.046602e-03	1.584336e-03	2.869340e-02
10.0201       	2.046897e-03	1.584390e-03	2.819918e-02
10.0205       	2.047199e-03	1.584382e-03	2.840889e-02
10.0209       	2.047496e-03	1.584352e-03	2.871057e-02
10.0213       	2.047805e-03	1.584396e-03	2.829099e-02
10.0216       	2.048051e-03	1.584340e-03	2.819027e-02
10.022        	2.048297e-03	1.584270e-03	2.831788e-02
10.0224       	2.048641e-03	1.584268e-03	2.842721e-02
10.0228       	2.048980e-03	1.584297e-03	2.819375e-02
10.0231       	2.039316e-03	1.576602e-03	2.846211e-02
10.0235       	2.039625e-03	1.576663e-03	2.825977e-02
10.0239       	2.030000e-03	1.568983e-03	2.841094e-02
10.0243       	2.030343e-03	1.568967e-03	2.849857e-02
10.0246       	2.020720e-03	1.561335e-03	2.854449e-02
10.025        	2.011134e-03	1.553693e-03	2.823321e-02
10.0254       	2.011467e-03	1.553707e-03	2.826664e-02
10.0257       	2.001912e-03	1.546083e-03	2.808979e-02
10.0261       	2.002233e-03	1.546177e-03	2.796437e-02
10.0265       	1.992609e-03	1.538543e-03	2.785251e-02
10.0268       	1.992841e-03	1.538501e-03	2.748757e-02
10.0272       	1.983204e-03	1.530781e-03	2.770314e-02
10.0276       	1.983468e-03	1.530755e-03	2.774871e-02
10.0279       	1.973882e-03	1.523179e-03	2.750432e-02
10.0283       	1.964279e-03	1.515575e-03	2.779478e-02
10.0287       	1.964483e-03	1.515570e-03	2.793903e-02
10.029        	1.954901e-03	1.508028e-03	2.780275e-02
10.0294       	1.955088e-03	1.508032e-03	2.747055e-02
10.0297       	1.945372e-03	1.500423e-03	2.774099e-02
10.0301       	1.945542e-03	1.500419e-03	2.764118e-02
10.0304       	1.935857e-03	1.492757e-03	2.764434e-02
10.0308       	1.936070e-03	1.492658e-03	2.723260e-02
10.0311       	1.926404e-03	1.484970e-03	2.744691e-02
10.0315       	1.926604e-03	1.484863e-03	2.700470e-02
10.0319       	1.916974e-03	1.477164e-03	2.706981e-02
10.0322       	1.917218e-03	1.477192e-03	2.672902e-02
10.0326       	1.907643e-03	1.469625e-03	2.682359e-02
10.0329       	1.898158e-03	1.462118e-03	2.691289e-02
10.0332       	1.898539e-03	1.462234e-03	2.633004e-02
10.0336       	1.889034e-03	1.454757e-03	2.661703e-02
10.0339       	1.889377e-03	1.454868e-03	2.627236e-02
10.0343       	1.879882e-03	1.447364e-03	2.672266e-02
10.0346       	1.880137e-03	1.447445e-03	2.621841e-02
10.035        	1.870543e-03	1.439947e-03	2.641699e-02
10.0353       	1.870793e-03	1.440022e-03	2.612494e-02
10.0357       	1.861271e-03	1.432657e-03	2.639980e-02
10.036        	1.861522e-03	1.432783e-03	2.625925e-02
10.0363       	1.851891e-03	1.425299e-03	2.636430e-02
10.0367       	1.852089e-03	1.425382e-03	2.640525e-02
10.037        	1.842347e-03	1.417756e-03	2.653151e-02
10.0373       	1.842431e-03	1.417688e-03	2.638043e-02
10.0377       	1.832707e-03	1.409985e-03	2.658755e-02
10.038        	1.832819e-03	1.409848e-03	2.658465e-02
10.0384       	1.832985e-03	1.409811e-03	2.643356e-02
10.0387       	1.823223e-03	1.402163e-03	2.666376e-02
10.039        	1.823404e-03	1.402214e-03	2.650457e-02
10.0393       	1.813665e-03	1.394639e-03	2.679767e-02
10.0397       	1.813864e-03	1.394666e-03	2.651770e-02
10.04         	1.814117e-03	1.394778e-03	2.638713e-02
10.0403       	1.804417e-03	1.387284e-03	2.651525e-02
10.0407       	1.804714e-03	1.387394e-03	2.652227e-02
10.041        	1.804999e-03	1.387469e-03	2.647661e-02
10.0413       	1.795236e-03	1.379774e-03	2.674703e-02
10.0417       	1.795435e-03	1.379786e-03	2.666730e-02
10.042        	1.785610e-03	1.372194e-03	2.695654e-02
10.0423       	1.785842e-03	1.372386e-03	2.642231e-02
10.0426       	1.786020e-03	1.372542e-03	2.629009e-02
