# Residuals   
# Time        	Ux            	Uy            	p             
7.6           	N/A	N/A
7.60033       	1.773290e-03	1.346396e-03	2.427014e-02
7.60067       	1.773371e-03	1.346259e-03	2.405355e-02
7.601         	1.773443e-03	1.346138e-03	2.383155e-02
7.60133       	1.773498e-03	1.345891e-03	2.372760e-02
7.60167       	1.773557e-03	1.345584e-03	2.359673e-02
7.602         	1.773739e-03	1.345291e-03	2.377426e-02
7.60233       	1.773971e-03	1.345083e-03	2.388299e-02
7.60267       	1.774210e-03	1.344956e-03	2.378392e-02
7.603         	1.774369e-03	1.344853e-03	2.372637e-02
7.60333       	1.774423e-03	1.344735e-03	2.395830e-02
7.60367       	1.774501e-03	1.344668e-03	2.398758e-02
7.604         	1.774589e-03	1.344481e-03	2.398625e-02
7.60433       	1.774669e-03	1.344318e-03	2.396966e-02
7.60467       	1.774642e-03	1.343997e-03	2.399677e-02
7.605         	1.774635e-03	1.343802e-03	2.401726e-02
7.60533       	1.774606e-03	1.343572e-03	2.385996e-02
7.60567       	1.774567e-03	1.343423e-03	2.395076e-02
7.606         	1.774582e-03	1.343264e-03	2.395970e-02
7.60633       	1.774571e-03	1.343159e-03	2.379601e-02
7.60667       	1.774566e-03	1.342947e-03	2.387766e-02
7.607         	1.774596e-03	1.342783e-03	2.391676e-02
7.60733       	1.774715e-03	1.342622e-03	2.390384e-02
7.60767       	1.774865e-03	1.342534e-03	2.392801e-02
7.60796       	1.553219e-03	1.174660e-03	4.214811e-02
7.60825       	1.553081e-03	1.174736e-03	3.390774e-02
7.60854       	1.553085e-03	1.174883e-03	2.851131e-02
7.60883       	1.553208e-03	1.174938e-03	2.540412e-02
7.60912       	1.553412e-03	1.174923e-03	2.340355e-02
7.60942       	1.553601e-03	1.174815e-03	2.281170e-02
7.60971       	1.553795e-03	1.174674e-03	2.235923e-02
7.61          	1.553969e-03	1.174504e-03	2.224593e-02
7.61032       	1.718741e-03	1.298707e-03	3.332832e-02
7.61065       	1.719021e-03	1.298187e-03	2.953935e-02
7.61097       	1.719221e-03	1.297848e-03	2.675743e-02
7.61129       	1.719249e-03	1.297448e-03	2.526568e-02
7.61161       	1.719234e-03	1.297249e-03	2.446024e-02
7.61194       	1.719193e-03	1.297090e-03	2.385337e-02
7.61226       	1.719145e-03	1.297006e-03	2.352190e-02
7.61258       	1.719101e-03	1.296983e-03	2.339621e-02
7.6129        	1.719034e-03	1.296963e-03	2.342132e-02
7.61323       	1.719014e-03	1.296974e-03	2.304792e-02
7.61355       	1.719039e-03	1.296887e-03	2.286979e-02
7.61387       	1.719123e-03	1.296869e-03	2.299411e-02
7.61419       	1.719294e-03	1.296855e-03	2.299620e-02
7.61452       	1.719402e-03	1.296683e-03	2.320064e-02
7.61484       	1.719481e-03	1.296521e-03	2.310073e-02
7.61516       	1.719608e-03	1.296486e-03	2.324396e-02
7.61548       	1.719733e-03	1.296518e-03	2.319021e-02
7.61581       	1.719938e-03	1.296558e-03	2.339576e-02
7.61613       	1.720063e-03	1.296507e-03	2.315760e-02
7.61645       	1.720133e-03	1.296382e-03	2.337045e-02
7.61677       	1.720214e-03	1.296297e-03	2.301362e-02
7.6171        	1.720243e-03	1.296137e-03	2.324108e-02
7.61739       	1.548386e-03	1.166518e-03	3.667375e-02
7.61768       	1.548219e-03	1.166551e-03	2.997080e-02
7.61797       	1.548125e-03	1.166598e-03	2.616441e-02
7.61826       	1.548149e-03	1.166637e-03	2.386501e-02
7.61855       	1.548227e-03	1.166612e-03	2.264426e-02
7.61884       	1.548343e-03	1.166545e-03	2.185434e-02
7.61913       	1.548491e-03	1.166466e-03	2.189549e-02
7.61942       	1.548641e-03	1.166348e-03	2.213846e-02
7.61971       	1.548762e-03	1.166216e-03	2.220738e-02
7.62          	1.548896e-03	1.166167e-03	2.196211e-02
7.62031       	1.667283e-03	1.255087e-03	2.964761e-02
7.62062       	1.667537e-03	1.254779e-03	2.685950e-02
7.62094       	1.667718e-03	1.254549e-03	2.545300e-02
7.62125       	1.667793e-03	1.254298e-03	2.444306e-02
7.62156       	1.667789e-03	1.254033e-03	2.418909e-02
7.62187       	1.667756e-03	1.253777e-03	2.385677e-02
7.62219       	1.667760e-03	1.253623e-03	2.380870e-02
7.6225        	1.667771e-03	1.253485e-03	2.378806e-02
7.62281       	1.667851e-03	1.253316e-03	2.399019e-02
7.62312       	1.667941e-03	1.253134e-03	2.351524e-02
7.62344       	1.668033e-03	1.253183e-03	2.338052e-02
7.62375       	1.668088e-03	1.253146e-03	2.325629e-02
7.62406       	1.668158e-03	1.253135e-03	2.316752e-02
7.62437       	1.668186e-03	1.252999e-03	2.318940e-02
7.62469       	1.668224e-03	1.252898e-03	2.303803e-02
7.625         	1.668296e-03	1.252788e-03	2.296659e-02
7.62531       	1.668430e-03	1.252663e-03	2.315651e-02
7.62562       	1.668535e-03	1.252510e-03	2.293002e-02
7.62594       	1.668647e-03	1.252369e-03	2.282317e-02
7.62625       	1.668766e-03	1.252236e-03	2.268963e-02
7.62656       	1.668892e-03	1.252105e-03	2.274237e-02
7.62687       	1.669019e-03	1.252086e-03	2.283526e-02
7.62719       	1.669099e-03	1.252072e-03	2.287015e-02
